"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
1389,941891530.095507,2164623.07185334,1990,FALSE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.00229816598057087
1389,941891530.095507,2203.37202715874,1991,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",2.33930548981083e-06
1389,941891530.095507,42305.8753909161,1994,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",4.49158677397028e-05
1389,941891530.095507,10743.9173554927,1997,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",1.14067459067216e-05
1389,941891530.095507,628629653.002161,2004,FALSE,5,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.667411939608819
1389,941891530.095507,2162.21266775257,2007,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",2.29560687049954e-06
1389,941891530.095507,8837.72223906152,2010,FALSE,14,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",9.38295117503115e-06
1389,941891530.095507,162.209462945278,2012,FALSE,3,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",1.72216712606844e-07
1389,941891530.095507,301.096863310784,2018,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",3.19672545818788e-07
1390,628660431.034596,413488754.882568,1976,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.657729887981152
1390,628660431.034596,119532500.600877,2004,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.190138419248307
1390,628660431.034596,218.316326962144,2007,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",3.47272257302495e-07
1390,628660431.034596,NA,2008,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",NA
1390,628660431.034596,2964143.90315951,2010,FALSE,8,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.00471501586044054
1390,628660431.034596,67395.0029490888,2014,FALSE,9,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.000107204143321341
1390,628660431.034596,8132.52969411016,2015,FALSE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",1.29362837115839e-05
1391,94535319.9246194,14303492.3101219,1978,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.151303156550665
1391,94535319.9246194,1385.45540551841,1986,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",1.4655426211316e-05
1391,94535319.9246194,79705647.9892744,2004,FALSE,3,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.84313088539638
1399,235925748.943776,196456038.235118,1985,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.832702827540607
1399,235925748.943776,1452.3211518405,2001,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",6.1558399553353e-06
1399,235925748.943776,2638.19819102021,2002,FALSE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",1.11823241118498e-05
1399,235925748.943776,38419444.6703555,2004,FALSE,3,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.162845492034493
1401,581192854.192617,123817811.801329,1985,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.213040836459241
1401,581192854.192617,251613176.718136,2004,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.432925447900892
1401,581192854.192617,44688.7279133665,2010,FALSE,6,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",7.68913925747543e-05
1403,318466559.117296,52845242.5272509,1986,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.165936551309261
1403,318466559.117296,235586.007793868,1989,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.00073975116397417
1403,318466559.117296,10002093.6484766,1996,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.0314070452991981
1403,318466559.117296,215975908.205552,2004,FALSE,6,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.678174527348113
1403,318466559.117296,107339.939524624,2009,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.00033705246736782
1403,318466559.117296,314039.945002119,2010,FALSE,4,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.000986100223120928
1409,63046558.2914512,15141.0896577239,1969,TRUE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.000240157275322307
1409,63046558.2914512,29963.3724103868,1975,TRUE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.000475257860577771
1409,63046558.2914512,182829.87117637,1982,TRUE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.00289991834813861
1409,63046558.2914512,21937961.84528,1997,TRUE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.347964463720055
1409,63046558.2914512,43977.5154998561,1998,TRUE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.000697540305000587
