"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","mountain","terrestrial","marine","freshwater","original_area","kba_note","error_note","percPA"
23136,41170410.3626726,28016448.694253,2003,FALSE,1,"19379","CHN","Yun Range (nn)","CHN",FALSE,"19379",1,1,0,0,41170410.3626972,NA,"",0.680499622118274
23192,40694127.7047803,15687077.1656287,2003,FALSE,1,"19379","CHN","Yun Range (nn)","CHN",FALSE,"19379",1,1,0,0,40694127.7047418,NA,"",0.385487490466246
23171,16379949.7304761,11321223.5373602,2003,FALSE,1,"19379","CHN","Yun Range (nn)","CHN",FALSE,"19379",1,1,0,0,16379949.7303702,NA,"",0.691163509268662
23299,22561028.834305,22561028.834305,2003,FALSE,1,"19379","CHN","Yun Range (nn)","CHN",FALSE,"19379",1,1,0,0,22561028.8343604,NA,"",1
23261,14711283.3513988,11887117.4342514,2003,FALSE,1,"19379","CHN","Yun Range (nn)","CHN",FALSE,"19379",1,1,0,0,14711283.3516185,NA,"",0.808027223071678
23173,20422421.8011025,0.0744478316843846,2003,FALSE,1,"19379","CHN","Yun Range (nn)","CHN",FALSE,"19379",1,1,0,0,38217124.9033199,"clipped by: 15560 ;","",3.64539682949677e-09
23223,44850096.5194961,0.148086216334676,2003,FALSE,1,"19379","CHN","Yun Range (nn)","CHN",FALSE,"19379",1,1,0,0,74351043.544737,"clipped by: 15560 ;","",3.30180373793183e-09
23205,116493992.835099,0,0,FALSE,0,"19379","CHN","Yun Range (nn)","CHN",NA,NA,1,1,0,0,116493992.834982,NA,"no pas overlapping this kba",0
23180,21365993.5292864,0.0726574232049302,2003,FALSE,1,"19379","CHN","Yun Range (nn)","CHN",FALSE,"19379",1,1,0,0,47958459.6281424,"clipped by: 15560 ;","",3.40061055926739e-09
23166,14433190.1492142,0.123116790863712,2003,FALSE,1,"19379","CHN","Yun Range (nn)","CHN",FALSE,"19379",1,1,0,0,72107505.9044486,"clipped by: 15560 ;","",8.53011632154065e-09
23298,4224062.9202019,0.00156292744938469,2003,FALSE,1,"19379","CHN","Yun Range (nn)","CHN",FALSE,"19379",1,1,0,0,15334077.0829522,"clipped by: 15560 ;","",3.70005721721111e-10
26000,11081895.6806886,0,0,FALSE,0,"11567","USA","La Sal Mountains","USA",NA,NA,1,1,0,0,431362458.566037,NA,"no pas overlapping this kba",0
44511,53378414.5186741,3670.6049604881,1992,FALSE,1,"11567","USA","La Sal Mountains","USA",TRUE,"11567",1,1,0,0,5984044298.89555,NA,"",6.87657172583115e-05
44511,53378414.5186741,1914482.89632628,2008,FALSE,1,"11567","USA","La Sal Mountains","USA",TRUE,"11567",1,1,0,0,5984044298.89555,NA,"",0.0358662375716781
26000,420280184.605772,9071466.05676618,2001,FALSE,1,"12103","USA","Abajo Mountains","USA",TRUE,"12103",1,1,0,0,431362458.566037,NA,"",0.0215843296663518
26000,420280184.605772,1298383.7456184,2003,FALSE,1,"12103","USA","Abajo Mountains","USA",TRUE,"12103",1,1,0,0,431362458.566037,NA,"",0.0030893289600039
44511,3252225049.28896,185890879.932802,1984,FALSE,1,"12103","USA","Abajo Mountains","USA",TRUE,"12103",1,1,0,0,5984044298.89555,NA,"",0.0571580616702535
44511,3252225049.28896,649461.404306052,1986,FALSE,1,"12103","USA","Abajo Mountains","USA",TRUE,"12103",1,1,0,0,5984044298.89555,NA,"",0.000199697559198139
44511,3252225049.28896,139063380.888515,1992,FALSE,4,"12103","USA","Abajo Mountains","USA",TRUE,"12103",1,1,0,0,5984044298.89555,NA,"",0.0427594581497116
44511,3252225049.28896,18586125.3788858,1997,FALSE,1,"12103","USA","Abajo Mountains","USA",TRUE,"12103",1,1,0,0,5984044298.89555,NA,"",0.00571489521702974
44511,3252225049.28896,10382613.1754821,2002,FALSE,1,"12103","USA","Abajo Mountains","USA",TRUE,"12103",1,1,0,0,5984044298.89555,NA,"",0.00319246454907911
44511,3252225049.28896,19344862.4353544,2008,FALSE,3,"12103","USA","Abajo Mountains","USA",TRUE,"12103",1,1,0,0,5984044298.89555,NA,"",0.00594819305004239
44511,3252225049.28896,274647314.606867,2016,FALSE,1,"12103","USA","Abajo Mountains","USA",TRUE,"12103",1,1,0,0,5984044298.89555,NA,"",0.0844490496335466
10169,2494617577.42055,1192745804.08067,1990,FALSE,2,"14556","MEX","Sierra de Istatán","MEX",FALSE,"14556",1,1,0,0,2494617577.42086,NA,"",0.478127715797617
10169,2494617577.42055,610055790.99402,2000,FALSE,1,"14556","MEX","Sierra de Istatán","MEX",FALSE,"14556",1,1,0,0,2494617577.42086,NA,"",0.244548822439077
10169,2494617577.42055,33262549.908255,2009,FALSE,1,"14556","MEX","Sierra de Istatán","MEX",FALSE,"14556",1,1,0,0,2494617577.42086,NA,"",0.0133337270647506
10169,2494617577.42055,1941454.72944797,2016,FALSE,1,"14556","MEX","Sierra de Istatán","MEX",FALSE,"14556",1,1,0,0,2494617577.42086,NA,"",0.000778257455980667
10166,1818136563.25197,1694394846.34596,1995,FALSE,3,"14556","MEX","Sierra de Istatán","MEX",TRUE,"14556",1,1,0,0,1935273254.47958,NA,"",0.931940361682908
10166,1818136563.25197,1096586.51610606,2009,FALSE,1,"14556","MEX","Sierra de Istatán","MEX",TRUE,"14556",1,1,0,0,1935273254.47958,NA,"",0.000603137596080612
23602,288459401.280496,0,0,FALSE,0,"14556","MEX","Sierra de Istatán","MEX",NA,NA,1,1,0,0,337495885.437421,"clipped by: 10169 ;","no pas overlapping this kba",0
30046,1824925113.11268,7700835.55033816,1995,FALSE,2,"14556","MEX","Sierra de Istatán","MEX",TRUE,"14556",1,1,1,1,8040772735.1448,NA,"",0.00421980907326286
